LOOKUP_TYPE,LOOKUP_KEY,LOOKUP_VALUE
IVR_DNIS_PROGRAM,1961,SWCC
IVR_DNIS_PROGRAM,1962,SWCC
IVR_DNIS_PROGRAM,1963,SWCC
IVR_DNIS_PROGRAM,1964,SWCC
IVR_DNIS_PROGRAM,1965,SWCC
IVR_DNIS_PROGRAM,1966,EC
IVR_DNIS_PROGRAM,1970,SWCC
IVR_DNIS_PROGRAM,1971,SWCC
IVR_DNIS_PROGRAM,2140,SWCC
IVR_DNIS_PROGRAM,2141,FPBP
IVR_DNIS_PROGRAM,2142,SWCC
IVR_DNIS_PROGRAM,2143,SWCC
IVR_DNIS_PROGRAM,2144,EC
IVR_DNIS_PROGRAM,2145,EC
IVR_DNIS_PROGRAM,2148,FPBP
IVR_DNIS_PROGRAM,4400,HIX
IVR_DNIS_PROGRAM,4461,HIX
IVR_DNIS_PROGRAM,4462,HIX
IVR_DNIS_PROGRAM,4463,HIX
IVR_DNIS_PROGRAM,4464,HIX
IVR_DNIS_PROGRAM,4466,HIX
IVR_DNIS_PROGRAM,4468,HIX
IVR_DNIS_PROGRAM,4469,HIX
IVR_DNIS_PROGRAM,4470,HIX
IVR_DNIS_PROGRAM,4471,HIX
IVR_DNIS_PROGRAM,4472,HIX
IVR_DNIS_PROGRAM,4473,HIX
IVR_DNIS_PROGRAM,4474,HIX

