ID	WORKRESOURCEID	EMPLOYEEFILTERID
1722387251	56726	101
1722387252	56729	101
1722387253	56730	101
1722387254	56736	101
1722387255	56772	101
1722387256	56773	101
1722387257	56790	101
1722387258	56791	101
1722387259	56792	101
1722387260	56795	101
1722387261	56796	101
1722387262	56800	101
1722387263	56802	101
1722387264	56824	101
1722387265	56864	101
1722387266	56873	101
1722387267	56877	101
1722387268	56904	101
1722387269	57091	101
1722387270	57095	101
1722387271	57098	101
1722387272	57102	101
1722387273	57103	101
1722387274	57104	101
1722387275	57105	101
1722387276	57210	101
1722387277	57212	101
1722387278	57217	101
1722387279	57218	101
1722387280	57219	101
1722387281	57237	101
1722387282	57241	101
1722387283	57251	101
1722387284	57256	101
1722387285	57266	101
1722387286	57274	101
1722387287	57280	101
1722387288	57286	101
1722387289	57296	101
1722387290	57304	101
1722387291	57309	101
1722387292	57314	101
1722387293	57325	101
1722387294	57327	101
1722387295	57330	101
1722387296	57331	101
1722387297	57334	101
1722387298	57519	101
1722387299	57527	101
1722387300	57532	101
1722387301	57538	101
1722387302	57548	101
1722387303	57551	101
1722387304	57554	101
1722387305	57555	101
1722387306	57558	101
1722387307	57559	101
1722387308	57566	101
1722387309	57567	101
1722387310	57570	101
1722387311	57609	101
1722387312	57739	101
1722387313	57787	101
1722387314	57789	101
1722387315	57797	101
1722387316	57801	101
1722387317	57803	101
1722387318	57826	101
1722387319	57833	101
1722387320	57883	101
1722387321	57887	101
1722387322	57888	101
1722387323	57903	101
1722387324	57906	101
1722387325	57907	101
1722387326	57908	101
1722387327	57914	101
1722387328	57924	101
1722387329	57987	101
1722387330	57993	101
1722387331	58031	101
1722387332	58032	101
1722387333	58043	101
1722387334	58048	101
1722387335	58052	101
1722387336	58058	101
1722387337	58061	101
1722387338	58073	101
1722387339	58075	101
1722387340	58079	101
1722387341	58081	101
1722387342	58082	101
1722387343	8061	2110
1722387344	8070	2110
1722387345	8072	2110
1722387346	54461	6906
1722387347	54490	6906
1722387348	56621	6906
1722387349	56627	6906
1722387350	56633	6906
1722387351	56640	6906
1722387352	56650	6906
1722387353	54461	12852
1722387354	54467	12852
1722387355	54490	12852
1722387356	56618	12852
1722387357	56619	12852
1722387358	56620	12852
1722387359	56621	12852
1722387360	56627	12852
1722387361	56633	12852
1722387362	56640	12852
1722387363	56650	12852
1722387364	57626	12852
1722387365	81580	12852
1722387366	81586	12852
1722387705	23	1863
1722387706	27	1863
1722387707	49	1863
1722387708	60	1863
1722387709	61	1863
1722387710	68	1863
1722387711	82	1863
1722387712	113	1863
1722387713	145	1863
1722387714	146	1863
1722387715	147	1863
1722387716	148	1863
1722387717	149	1863
1722387718	150	1863
1722387719	152	1863
1722387720	153	1863
1722387721	155	1863
1722387722	669	1863
1722387723	700	1863
1722387724	857	1863
1722387725	898	1863
1722387726	938	1863
1722387727	1040	1863
1722387728	1043	1863
1722387729	1045	1863
1722387730	1061	1863
1722387731	1063	1863
1722387732	1069	1863
1722387733	1070	1863
1722387734	1071	1863
1722387735	1072	1863
1722387736	1074	1863
1722387737	1076	1863
1722387738	1077	1863
1722387739	1078	1863
1722387740	1079	1863
1722387741	1080	1863
1722387742	1090	1863
1722387743	1091	1863
1722387744	1096	1863
1722387745	1132	1863
1722387746	1174	1863
1722387747	1205	1863
1722387748	1300	1863
1722387749	1301	1863
1722387750	1303	1863
1722387751	1314	1863
1722387752	1318	1863
1722387753	1329	1863
1722387754	1348	1863
1722387755	1377	1863
1722387756	1378	1863
1722387757	1388	1863
1722387758	1391	1863
1722387759	1400	1863
1722387760	1409	1863
1722387761	1411	1863
1722387762	1412	1863
1722387763	1476	1863
1722387764	1477	1863
1722387765	2540	1863
1722387766	4592	1863
1722387767	4604	1863
1722387768	4605	1863
