ID	PERSONID	EMPLOYEETYPEID	ASSIGNEDPOINTS	BADGE	EMPLOYEENUMBER	STARTTIME	ENDTIME	CHANGECOUNTER	MODIFIEDBY	ISSUPERVISOR	ISTEAMLEAD	PREFERREDSTART
57814	11314	1	0	NULL	48658	2011-11-14 06:00:00.000	2012-03-17 04:59:00.000	6	veronicavidaurri	0	0	0
57816	11316	1	0	NULL	48469	2011-11-07 06:00:00.000	2012-02-02 05:59:00.000	8	paulawilson	0	0	0
57818	11318	1	0	NULL	48472	2011-11-07 06:00:00.000	NULL	9	christina.bradley	0	0	0
57820	11320	1	0	NULL	48475	2011-11-07 06:00:00.000	2012-03-31 04:59:00.000	7	paulawilson	0	0	0
57822	11322	1	0	NULL	48476	2011-11-07 06:00:00.000	NULL	31	elizabethlundie	0	0	0
57825	11325	1	0	NULL	48580	2011-11-14 06:00:00.000	2012-02-23 05:59:00.000	4	veronicavidaurri	0	0	0
57828	11328	1	0	NULL	48543	2011-11-14 06:00:00.000	2012-03-31 04:59:00.000	7	kimlewis	0	0	0
57830	11330	1	0	NULL	48597	2011-11-14 06:00:00.000	2012-02-17 05:59:00.000	3	heather.trautman	0	0	0
57831	11331	1	0	NULL	48604	2011-11-14 06:00:00.000	2011-12-17 05:59:00.000	6	christina.bradley	0	0	0
57832	11332	1	0	NULL	48571	2011-11-14 06:00:00.000	2011-12-10 05:59:00.000	3	veronicavidaurri	0	0	0
57833	11333	1	0	NULL	48606	2011-11-14 06:00:00.000	NULL	4	veronicavidaurri	0	0	0
57834	11334	1	0	NULL	48577	2011-11-14 06:00:00.000	2012-02-11 05:59:00.000	3	heather.trautman	0	0	0
57836	11336	1	0	NULL	47519	2011-11-14 06:00:00.000	2011-12-17 05:59:00.000	3	jennifer.johnson	0	0	0
57837	11337	1	0	NULL	48564	2011-11-14 06:00:00.000	2012-03-31 04:59:00.000	4	kimlewis	0	0	0
57838	11338	1	0	NULL	48568	2011-11-14 06:00:00.000	2012-01-28 05:59:00.000	3	veronicavidaurri	0	0	0
57839	11339	1	0	NULL	48556	2011-11-14 06:00:00.000	2012-03-16 04:59:00.000	3	veronicavidaurri	0	0	0
