ID	DATASOURCEID	EMPLOYEEID	EXTERNALEMPIDENT	EXTERNALEMPIDENTTYPE	EXTENSIONDATAPORTID
8176	7	40069	NULL	NULL	NULL
8314	7	40073	NULL	NULL	NULL
8360	7	40074	NULL	NULL	NULL
40729	7	40563	NULL	NULL	NULL
8324	7	40954	NULL	NULL	NULL
8273	7	40955	NULL	NULL	NULL
8020	7	40960	NULL	NULL	NULL
8190	7	40968	NULL	NULL	NULL
7999	7	40970	NULL	NULL	NULL
8298	7	40972	NULL	NULL	NULL
7911	7	41001	NULL	NULL	NULL
8292	7	41102	NULL	NULL	NULL
8315	7	41103	NULL	NULL	NULL
10061	7	41104		NULL	NULL
8220	7	41106	NULL	NULL	NULL
8118	7	41109	NULL	NULL	NULL
8108	7	41112	NULL	NULL	NULL
8080	7	41114	NULL	NULL	NULL
8043	7	41116	NULL	NULL	NULL
8062	7	41118	NULL	NULL	NULL
7907	7	41127	NULL	NULL	NULL
10030	7	8061		NULL	NULL
8278	7	8064	NULL	NULL	NULL
41526	7	8068	NULL	NULL	NULL
10011	7	8070		NULL	NULL
10014	7	8072		NULL	NULL
10044	7	12321		NULL	NULL
23539	7	12342	NULL	NULL	NULL
8353	7	12370	NULL	NULL	NULL
8286	7	12371	NULL	NULL	NULL
8199	7	12417	NULL	NULL	NULL
8229	7	12420	NULL	NULL	NULL
10071	7	12421		NULL	NULL
10068	7	12422		NULL	NULL
10064	7	12424		NULL	NULL
10065	7	12428		NULL	NULL
9564	7	12604	NULL	NULL	NULL
9544	7	13812	NULL	NULL	NULL
8378	7	13813	NULL	NULL	NULL
9535	7	13852	NULL	NULL	NULL
10056	7	14002		NULL	NULL
8327	7	14004	NULL	NULL	NULL
10057	7	14011		NULL	NULL
8208	7	15701	NULL	NULL	NULL
20264	7	16726	NULL	NULL	NULL
8361	7	16729	NULL	NULL	NULL
7995	7	16732	NULL	NULL	NULL
8006	7	16734	NULL	NULL	NULL
8082	7	18085	NULL	NULL	NULL
8233	7	18099	NULL	NULL	NULL
8252	7	18104	NULL	NULL	NULL
8287	7	18107	NULL	NULL	NULL
10018	7	18108		NULL	NULL
7989	7	18120	NULL	NULL	NULL
8369	7	18128	NULL	NULL	NULL
10009	7	18134		NULL	NULL
9462	7	18342	NULL	NULL	NULL
8293	7	18509	NULL	NULL	NULL
9466	7	18713	NULL	NULL	NULL
7955	7	18762	NULL	NULL	NULL
10003	7	18978		NULL	NULL
8074	7	18999	NULL	NULL	NULL
8155	7	19001	NULL	NULL	NULL
8078	7	19004	NULL	NULL	NULL
9562	7	19062	NULL	NULL	NULL
10076	7	19472	NULL	NULL	NULL
8109	7	19767	NULL	NULL	NULL
8244	7	19780	NULL	NULL	NULL
8283	7	19783	NULL	NULL	NULL
8300	7	19786	NULL	NULL	NULL
10037	7	19793		NULL	NULL
7925	7	19847	NULL	NULL	NULL
10059	7	19862		NULL	NULL
7929	7	21164	NULL	NULL	NULL
7951	7	21165	NULL	NULL	NULL
8382	7	21300	NULL	NULL	NULL
8052	7	21329	NULL	NULL	NULL
8218	7	21828	NULL	NULL	NULL
8363	7	21829	NULL	NULL	NULL
8147	7	22026	NULL	NULL	NULL
9511	7	22037	NULL	NULL	NULL
8116	7	22048	NULL	NULL	NULL
8205	7	22050	NULL	NULL	NULL
10067	7	22051		NULL	NULL
10069	7	22054		NULL	NULL
8368	7	22062	NULL	NULL	NULL
8110	7	22069	NULL	NULL	NULL
8133	7	22070	NULL	NULL	NULL
10051	7	22085		NULL	NULL
10078	7	22093	NULL	NULL	NULL
16649	7	22121	NULL	NULL	NULL
7959	7	22224	NULL	NULL	NULL
8129	7	22235	NULL	NULL	NULL
8290	7	22239	NULL	NULL	NULL
8299	7	22240	NULL	NULL	NULL
41528	7	22242	NULL	NULL	NULL
8336	7	22244	NULL	NULL	NULL
40621	7	22973	NULL	NULL	NULL
10084	7	22974	NULL	NULL	NULL
9513	7	22986	NULL	NULL	NULL
10050	7	23195		NULL	NULL
40554	7	23200	NULL	NULL	NULL
7937	7	24009	NULL	NULL	NULL
10028	7	24018		NULL	NULL
8141	7	24020	NULL	NULL	NULL
8275	7	24026	NULL	NULL	NULL
8321	7	24029	NULL	NULL	NULL
8356	7	24030	NULL	NULL	NULL
9517	7	24253	NULL	NULL	NULL
8170	7	24437	NULL	NULL	NULL
8213	7	24609	NULL	NULL	NULL
8223	7	24610	NULL	NULL	NULL
8309	7	24612	NULL	NULL	NULL
8089	7	24619	NULL	NULL	NULL
8308	7	24622	NULL	NULL	NULL
9476	7	24732	NULL	NULL	NULL
8262	7	25255	NULL	NULL	NULL
8091	7	25261	NULL	NULL	NULL
8322	7	25262	NULL	NULL	NULL
8376	7	25268	NULL	NULL	NULL
8274	7	25683	NULL	NULL	NULL
8349	7	25685	NULL	NULL	NULL
8323	7	25687	NULL	NULL	NULL
8380	7	25689	NULL	NULL	NULL
11724	7	25701	NULL	NULL	NULL
11730	7	25703	NULL	NULL	NULL
40735	7	25804	NULL	NULL	NULL
12497	7	25810	NULL	NULL	NULL
10019	7	25821		NULL	NULL
16647	7	25832	NULL	NULL	NULL
7971	7	26157	NULL	NULL	NULL
8095	7	26162	NULL	NULL	NULL
8237	7	26171	NULL	NULL	NULL
8271	7	26172	NULL	NULL	NULL
7988	7	26186	NULL	NULL	NULL
8345	7	26190	NULL	NULL	NULL
8088	7	28708	NULL	NULL	NULL
26054	7	30283	NULL	NULL	NULL
35273	7	30294	NULL	NULL	NULL
7913	7	30386	NULL	NULL	NULL
7994	7	30393	NULL	NULL	NULL
8048	7	30401	NULL	NULL	NULL
8094	7	30407	NULL	NULL	NULL
8100	7	30409	NULL	NULL	NULL
43879	7	30414	NULL	NULL	NULL
8222	7	30415	NULL	NULL	NULL
8543	6	34959	NULL	NULL	NULL
10315	6	34961		NULL	NULL
8575	6	34962	NULL	NULL	NULL
8581	6	35012	NULL	NULL	NULL
8643	6	35015	NULL	NULL	NULL
8489	6	35016	NULL	NULL	NULL
8535	6	35017	NULL	NULL	NULL
8556	6	35019	NULL	NULL	NULL
8614	6	35020	NULL	NULL	NULL
8628	6	35108	NULL	NULL	NULL
8632	6	35109	NULL	NULL	NULL
8488	6	35112	NULL	NULL	NULL
8570	6	35114	NULL	NULL	NULL
8595	6	35115	NULL	NULL	NULL
8747	6	35119	NULL	NULL	NULL
18436	6	35175	NULL	NULL	NULL
8767	6	35760	NULL	NULL	NULL
8455	6	35761	NULL	NULL	NULL
8675	6	35763	NULL	NULL	NULL
8734	6	35764	NULL	NULL	NULL
8679	6	35765	NULL	NULL	NULL
10259	6	35767		NULL	NULL
8737	6	35771	NULL	NULL	NULL
8602	6	35772	NULL	NULL	NULL
8450	6	35773	NULL	NULL	NULL
8627	6	35774	NULL	NULL	NULL
9558	6	36551	NULL	NULL	NULL
10301	6	36652		NULL	NULL
8468	6	36661	NULL	NULL	NULL
8676	6	36662	NULL	NULL	NULL
8517	6	36663	NULL	NULL	NULL
8698	6	36664	NULL	NULL	NULL
10304	6	36666		NULL	NULL
8604	6	36668	NULL	NULL	NULL
10373	6	37701		NULL	NULL
8537	6	37702	NULL	NULL	NULL
8514	6	37704	NULL	NULL	NULL
8562	6	37706	NULL	NULL	NULL
8594	6	37707	NULL	NULL	NULL
8592	6	37708	NULL	NULL	NULL
8707	6	37709	NULL	NULL	NULL
8617	6	37710	NULL	NULL	NULL
8743	6	37711	NULL	NULL	NULL
8684	6	39274	NULL	NULL	NULL
8531	6	39276	NULL	NULL	NULL
8733	6	39277	NULL	NULL	NULL
10390	6	39278		NULL	NULL
8473	6	39279	NULL	NULL	NULL
8757	6	39280	NULL	NULL	NULL
8484	6	39282	NULL	NULL	NULL
8612	6	39285	NULL	NULL	NULL
8509	6	39603	NULL	NULL	NULL
8503	6	39604	NULL	NULL	NULL
8533	6	39606	NULL	NULL	NULL
8555	6	39607	NULL	NULL	NULL
10265	6	39609		NULL	NULL
8637	6	39612	NULL	NULL	NULL
8597	6	39617	NULL	NULL	NULL
8719	6	39619	NULL	NULL	NULL
8748	6	39620	NULL	NULL	NULL
10377	6	39702		NULL	NULL
8505	6	39703	NULL	NULL	NULL
10376	6	39704		NULL	NULL
8492	6	39706	NULL	NULL	NULL
8478	6	39707	NULL	NULL	NULL
8465	6	39708	NULL	NULL	NULL
8471	6	39709	NULL	NULL	NULL
8596	6	39711	NULL	NULL	NULL
8677	6	39714	NULL	NULL	NULL
8704	6	39715	NULL	NULL	NULL
8699	6	39716	NULL	NULL	NULL
8717	6	39719	NULL	NULL	NULL
10382	6	39721		NULL	NULL
37524	6	41508	NULL	NULL	NULL
8456	6	41551	NULL	NULL	NULL
8467	6	41552	NULL	NULL	NULL
8542	6	41554	NULL	NULL	NULL
8538	6	41555	NULL	NULL	NULL
8516	6	41556	NULL	NULL	NULL
10351	6	41557		NULL	NULL
8588	6	41559	NULL	NULL	NULL
8608	6	41561	NULL	NULL	NULL
10344	6	41565		NULL	NULL
10343	6	41566		NULL	NULL
8702	6	41568	NULL	NULL	NULL
8753	6	41570	NULL	NULL	NULL
35085	6	41768	NULL	NULL	NULL
8593	6	41851	NULL	NULL	NULL
8649	6	41852	NULL	NULL	NULL
8578	6	41854	NULL	NULL	NULL
8461	6	41901	NULL	NULL	NULL
8453	6	41902	NULL	NULL	NULL
8502	6	41903	NULL	NULL	NULL
8523	6	41904	NULL	NULL	NULL
8524	6	41905	NULL	NULL	NULL
8532	6	41906	NULL	NULL	NULL
8522	6	41907	NULL	NULL	NULL
8644	6	41910	NULL	NULL	NULL
8626	6	41914	NULL	NULL	NULL
8685	6	41916	NULL	NULL	NULL
8766	6	41919	NULL	NULL	NULL
10291	6	41920		NULL	NULL
10290	6	41921		NULL	NULL
8751	6	41922	NULL	NULL	NULL
9664	6	42301	NULL	NULL	NULL
8657	6	42302	NULL	NULL	NULL
9678	6	42303	NULL	NULL	NULL
8712	6	42564	NULL	NULL	NULL
10270	6	43504		NULL	NULL
10269	6	43507		NULL	NULL
10276	6	43517		NULL	NULL
10275	6	43519		NULL	NULL
10442	6	43520		NULL	NULL
10443	6	43521		NULL	NULL
10439	6	43522		NULL	NULL
10441	6	43523		NULL	NULL
10438	6	43525		NULL	NULL
19791	6	43526	NULL	NULL	NULL
10436	6	43527		NULL	NULL
10433	6	43528		NULL	NULL
10434	6	43529		NULL	NULL
10430	6	43539		NULL	NULL
10429	6	43540		NULL	NULL
10428	6	43541		NULL	NULL
10426	6	43542		NULL	NULL
10425	6	43543		NULL	NULL
10424	6	43544		NULL	NULL
10423	6	43545		NULL	NULL
10422	6	43546		NULL	NULL
10421	6	43547		NULL	NULL
10420	6	43548		NULL	NULL
10419	6	43549		NULL	NULL
10418	6	43550		NULL	NULL
10417	6	43551		NULL	NULL
10413	6	43552		NULL	NULL
10414	6	43553		NULL	NULL
10415	6	43554		NULL	NULL
10410	6	43556		NULL	NULL
10411	6	43557		NULL	NULL
10406	6	43560		NULL	NULL
10407	6	43561		NULL	NULL
10408	6	43562		NULL	NULL
10409	6	43563		NULL	NULL
10403	6	43564		NULL	NULL
10404	6	43567		NULL	NULL
10400	6	43569		NULL	NULL
10402	6	43570		NULL	NULL
