ID,REPORTING_PERIOD_END_DATE,PROJECT_NAME,METRIC_NAME,ACTUAL_VALUE,FORECAST_VALUE
479,10/19/2013,DC HIX,FTE Count,51,52
486,10/19/2013,DC HIX,AHT,518,1500
493,10/19/2013,DC HIX,ASA,7,30
500,10/19/2013,DC HIX,AB Rate,1,3
549,10/19/2013,HI HIX,Calls Arriving,3450,2160
556,10/19/2013,HI HIX,Calls Offered,2666,1620
563,10/19/2013,HI HIX,FTE Count,22,22
570,10/19/2013,HI HIX,AHT,442,720
577,10/19/2013,HI HIX,ASA,51,2
584,10/19/2013,HI HIX,AB Rate,11.96,0.81
507,10/19/2013,MD HIX,Calls Arriving,7857,9360
514,10/19/2013,MD HIX,Calls Offered,7558,9126
521,10/19/2013,MD HIX,FTE Count,81,97
528,10/19/2013,MD HIX,AHT,641,780
535,10/19/2013,MD HIX,ASA,13,6
542,10/19/2013,MD HIX,AB Rate,3.8,3
304,10/19/2013,NY HIX,Calls Arriving,33623,38000
311,10/19/2013,NY HIX,Calls Offered,19107,26000
318,10/19/2013,NY HIX,FTE Count,321,321
325,10/19/2013,NY HIX,AHT,635,900
332,10/19/2013,NY HIX,ASA,9,25
339,10/19/2013,NY HIX,AB Rate,1.26,2.5
346,10/19/2013,VT HIX,Calls Arriving,3719,6736
353,10/19/2013,VT HIX,Calls Offered,3311,5389
360,10/19/2013,VT HIX,AHT,505,480
367,10/19/2013,VT HIX,ASA,165,120
374,10/19/2013,VT HIX,AB Rate,12.38,8
590,10/26/2013,CCO - Boise,Calls Arriving,20134,
597,10/26/2013,CCO - Boise,Calls Offered,20134,
604,10/26/2013,CCO - Boise,FTE Count,1273,1338
611,10/26/2013,CCO - Boise,AHT,1054,510
618,10/26/2013,CCO - Boise,ASA,,
625,10/26/2013,CCO - Boise,AB Rate,,
422,10/26/2013,CCO - Brownsville,Calls Arriving,3952,
429,10/26/2013,CCO - Brownsville,Calls Offered,3952,
436,10/26/2013,CCO - Brownsville,FTE Count,721,740
443,10/26/2013,CCO - Brownsville,AHT,572,510
450,10/26/2013,CCO - Brownsville,ASA,,
457,10/26/2013,CCO - Brownsville,AB Rate,,
380,10/26/2013,CT HIX,Calls Arriving,,
387,10/26/2013,CT HIX,Calls Offered,6346,7024
394,10/26/2013,CT HIX,FTE Count,60,60
401,10/26/2013,CT HIX,AHT,652,700
408,10/26/2013,CT HIX,ASA,114,60
415,10/26/2013,CT HIX,AB Rate,3.34,5
464,10/26/2013,DC HIX,Calls Arriving,966,2550
471,10/26/2013,DC HIX,Calls Offered,941,2168
478,10/26/2013,DC HIX,FTE Count,40,52
485,10/26/2013,DC HIX,AHT,615,1500
492,10/26/2013,DC HIX,ASA,7,30
499,10/26/2013,DC HIX,AB Rate,2.6,3
548,10/26/2013,HI HIX,Calls Arriving,4501,4156
555,10/26/2013,HI HIX,Calls Offered,3233,3325
562,10/26/2013,HI HIX,FTE Count,18,18
569,10/26/2013,HI HIX,AHT,474,510
576,10/26/2013,HI HIX,ASA,67,51
583,10/26/2013,HI HIX,AB Rate,18.62,11.96
506,10/26/2013,MD HIX,Calls Arriving,10464,9360
513,10/26/2013,MD HIX,Calls Offered,10016,9126
520,10/26/2013,MD HIX,FTE Count,100,97
527,10/26/2013,MD HIX,AHT,544,780
534,10/26/2013,MD HIX,ASA,19,6
541,10/26/2013,MD HIX,AB Rate,2.3,3
303,10/26/2013,NY HIX,Calls Arriving,40706,41500
310,10/26/2013,NY HIX,Calls Offered,25990,27571
317,10/26/2013,NY HIX,FTE Count,321,321
324,10/26/2013,NY HIX,AHT,657,750
331,10/26/2013,NY HIX,ASA,22,9
338,10/26/2013,NY HIX,AB Rate,2.54,1.4
345,10/26/2013,VT HIX,Calls Arriving,4576,4383
352,10/26/2013,VT HIX,Calls Offered,3962,3945
359,10/26/2013,VT HIX,AHT,569,510
366,10/26/2013,VT HIX,ASA,387,180
373,10/26/2013,VT HIX,AB Rate,23.32,12
589,11/2/2013,CCO - Boise,Calls Arriving,13391,
596,11/2/2013,CCO - Boise,Calls Offered,13391,
603,11/2/2013,CCO - Boise,FTE Count,954,1311
610,11/2/2013,CCO - Boise,AHT,1060,510
617,11/2/2013,CCO - Boise,ASA,,
624,11/2/2013,CCO - Boise,AB Rate,,
421,11/2/2013,CCO - Brownsville,Calls Arriving,3378,
428,11/2/2013,CCO - Brownsville,Calls Offered,3378,
435,11/2/2013,CCO - Brownsville,FTE Count,701,716
442,11/2/2013,CCO - Brownsville,AHT,670,510
