"D_REPORTING_PERIOD_ID","TYPE","START_DATE","END_DATE","MONTH","YEAR","CREATE_DATE","CREATED_BY","LAST_MODIFIED_DATE","UPDATED_BY"
301,"MONTHLY",10/01/2014 00:00:00,10/31/2014 00:00:00,"October  ",2014,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
302,"MONTHLY",11/01/2014 00:00:00,11/30/2014 00:00:00,"November ",2014,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
303,"MONTHLY",12/01/2014 00:00:00,12/31/2014 00:00:00,"December ",2014,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
304,"MONTHLY",01/01/2015 00:00:00,01/31/2015 00:00:00,"January  ",2015,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
305,"MONTHLY",02/01/2015 00:00:00,02/28/2015 00:00:00,"February ",2015,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
306,"MONTHLY",03/01/2015 00:00:00,03/31/2015 00:00:00,"March    ",2015,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
307,"MONTHLY",04/01/2015 00:00:00,04/30/2015 00:00:00,"April    ",2015,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
308,"MONTHLY",05/01/2015 00:00:00,05/31/2015 00:00:00,"May      ",2015,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
309,"MONTHLY",06/01/2015 00:00:00,06/30/2015 00:00:00,"June     ",2015,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
310,"MONTHLY",07/01/2015 00:00:00,07/31/2015 00:00:00,"July     ",2015,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
311,"MONTHLY",08/01/2015 00:00:00,08/31/2015 00:00:00,"August   ",2015,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
312,"MONTHLY",09/01/2015 00:00:00,09/30/2015 00:00:00,"September",2015,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
313,"MONTHLY",10/01/2015 00:00:00,10/31/2015 00:00:00,"October  ",2015,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
314,"MONTHLY",11/01/2015 00:00:00,11/30/2015 00:00:00,"November ",2015,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
315,"MONTHLY",12/01/2015 00:00:00,12/31/2015 00:00:00,"December ",2015,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
316,"MONTHLY",01/01/2016 00:00:00,01/31/2016 00:00:00,"January  ",2016,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
317,"MONTHLY",02/01/2016 00:00:00,02/29/2016 00:00:00,"February ",2016,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
318,"MONTHLY",03/01/2016 00:00:00,03/31/2016 00:00:00,"March    ",2016,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
319,"MONTHLY",04/01/2016 00:00:00,04/30/2016 00:00:00,"April    ",2016,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
320,"MONTHLY",05/01/2016 00:00:00,05/31/2016 00:00:00,"May      ",2016,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
321,"MONTHLY",06/01/2016 00:00:00,06/30/2016 00:00:00,"June     ",2016,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
322,"MONTHLY",07/01/2016 00:00:00,07/31/2016 00:00:00,"July     ",2016,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
323,"MONTHLY",08/01/2016 00:00:00,08/31/2016 00:00:00,"August   ",2016,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
324,"MONTHLY",09/01/2016 00:00:00,09/30/2016 00:00:00,"September",2016,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
325,"MONTHLY",10/01/2016 00:00:00,10/31/2016 00:00:00,"October  ",2016,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
326,"MONTHLY",11/01/2016 00:00:00,11/30/2016 00:00:00,"November ",2016,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
327,"MONTHLY",12/01/2016 00:00:00,12/31/2016 00:00:00,"December ",2016,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
328,"MONTHLY",01/01/2017 00:00:00,01/31/2017 00:00:00,"January  ",2017,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
329,"MONTHLY",02/01/2017 00:00:00,02/28/2017 00:00:00,"February ",2017,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
330,"MONTHLY",03/01/2017 00:00:00,03/31/2017 00:00:00,"March    ",2017,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
331,"MONTHLY",04/01/2017 00:00:00,04/30/2017 00:00:00,"April    ",2017,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
332,"MONTHLY",05/01/2017 00:00:00,05/31/2017 00:00:00,"May      ",2017,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
333,"MONTHLY",06/01/2017 00:00:00,06/30/2017 00:00:00,"June     ",2017,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
334,"MONTHLY",07/01/2017 00:00:00,07/31/2017 00:00:00,"July     ",2017,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
335,"MONTHLY",08/01/2017 00:00:00,08/31/2017 00:00:00,"August   ",2017,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
336,"MONTHLY",09/01/2017 00:00:00,09/30/2017 00:00:00,"September",2017,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
337,"MONTHLY",10/01/2017 00:00:00,10/31/2017 00:00:00,"October  ",2017,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
338,"MONTHLY",11/01/2017 00:00:00,11/30/2017 00:00:00,"November ",2017,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
339,"MONTHLY",12/01/2017 00:00:00,12/31/2017 00:00:00,"December ",2017,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
340,"MONTHLY",01/01/2018 00:00:00,01/31/2018 00:00:00,"January  ",2018,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
341,"MONTHLY",02/01/2018 00:00:00,02/28/2018 00:00:00,"February ",2018,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
342,"MONTHLY",03/01/2018 00:00:00,03/31/2018 00:00:00,"March    ",2018,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
343,"MONTHLY",04/01/2018 00:00:00,04/30/2018 00:00:00,"April    ",2018,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
344,"MONTHLY",05/01/2018 00:00:00,05/31/2018 00:00:00,"May      ",2018,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
345,"MONTHLY",06/01/2018 00:00:00,06/30/2018 00:00:00,"June     ",2018,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
346,"MONTHLY",07/01/2018 00:00:00,07/31/2018 00:00:00,"July     ",2018,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
347,"MONTHLY",08/01/2018 00:00:00,08/31/2018 00:00:00,"August   ",2018,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
348,"MONTHLY",09/01/2018 00:00:00,09/30/2018 00:00:00,"September",2018,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
349,"MONTHLY",10/01/2018 00:00:00,10/31/2018 00:00:00,"October  ",2018,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
350,"MONTHLY",11/01/2018 00:00:00,11/30/2018 00:00:00,"November ",2018,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
351,"MONTHLY",12/01/2018 00:00:00,12/31/2018 00:00:00,"December ",2018,04/29/2014 16:51:04,"MOTS",04/29/2014 16:51:04,"MOTS"
1,"WEEKLY",09/01/2013 00:00:00,09/07/2013 00:00:00,"September",2013,,"",01/13/2014 18:04:44,"MOTS"
2,"WEEKLY",09/08/2013 00:00:00,09/14/2013 00:00:00,"September",2013,,"",01/13/2014 18:04:44,"MOTS"
3,"WEEKLY",09/15/2013 00:00:00,09/21/2013 00:00:00,"September",2013,,"",01/13/2014 18:04:44,"MOTS"
4,"WEEKLY",09/22/2013 00:00:00,09/28/2013 00:00:00,"September",2013,,"",01/13/2014 18:04:44,"MOTS"
