SkillTargetID	ScheduleID	PeripheralID	EnterpriseName	PeripheralNumber	PeripheralName	AvailableHoldoffDelay	Priority	BaseSkillTargetID	Extension	SubGroupMaskType	SubSkillGroupMask	ConfigParam	Description	Deleted	MRDomainID	IPTA	DefaultEntry	UserDeletable	ServiceLevelThreshold	ServiceLevelType	BucketIntervalID	ChangeStamp
13719	NULL	5000	CCM_PG1.503_CHIP_EN_SEU	5030	503_CHIP_EN_SEU	-1	0	13719	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
13720	NULL	5000	CCM_PG1.513_CHIP_SP_SEU	513	513_CHIP_SP_SEU	-1	0	13720	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
13958	NULL	5000	CCM_PG1.590_CHIP_SUPERVISOR_EN	590	CHIP_SUPERVISOR_EN	-1	0	13958	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	CHIP Supervisor English	N	1	Y	0	Y	-1	0	NULL	0
13959	NULL	5000	CCM_PG1.591_CHIP_SUPERVISOR_SP	591	CHIP_SUPERVISOR_SP	-1	0	13959	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	CHIP Supervisor Spanish	N	1	Y	0	Y	-1	0	NULL	0
13960	NULL	5000	CCM_PG1.506_CHIP_EN_SEU_ADD	506	CHIP_EN_SEU_ADD	-1	0	13960	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	CHIP English Special Escalations Unit Call In	N	1	Y	0	Y	-1	0	NULL	1
13961	NULL	5000	CCM_PG1.507_CHIP_SP_SEU_ADD	507	CHIP_SP_SEU_ADD	-1	0	13961	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	CHIP Spanish Special Escalations Unit Call In	N	1	Y	0	Y	-1	0	NULL	1
14012	NULL	5002	CCM_PG3.396_IEE_EN_QC	396	396_IEE_EN_QC	-1	0	14012	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
14013	NULL	5002	CCM_PG3.397_IEE_SP_QC	397	397_IEE_SP_QC	-1	0	14013	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
14014	NULL	5002	CCM_PG3.398_IEE_SUP_EN	398	398_IEE_SUP_EN	-1	0	14014	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	IEE Midland English Supervisor Queue	N	1	Y	0	Y	-1	0	NULL	1
14015	NULL	5002	CCM_PG3.399_IEE_SUP_SP	399	399_IEE_SUP_SP	-1	0	14015	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	IEE Midland Spanish Supervisor Queue	N	1	Y	0	Y	-1	0	NULL	1
14100	NULL	5000	CCM_PG1.582_CHIP_PD_IVA_EN	582	582_CHIP_PD_IVA_EN	-1	0	14100	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	CHIP - Outbound IVA English	N	1	Y	0	Y	-1	0	NULL	0
14101	NULL	5000	CCM_PG1.583_CHIP_PD_IVA_SP	583	583_CHIP_PD_IVA_SP	-1	0	14101	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	CHIP - Outbound IVA Spanish	N	1	Y	0	Y	-1	0	NULL	0
14102	NULL	5000	CCM_PG1.584_CHIP_PD_Enrl_EN	584	584_CHIP_PD_Enrl_EN	-1	0	14102	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	CHIP - Outbound Enrollment English	N	1	Y	0	Y	-1	0	NULL	0
