ID	EMPLOYEEID	ACTIVITYID	TIMEOFFEVENTID	TIMEOFFCHOICEID	TIMEOFFCHOICERANK	TIMEOFFRULE	TOTALMINUTES	STARTTIME	ENDTIME	ISDIRTY	DIRTYTIME	STATUS	HOURSPERDAY	ORIGMINUTES	EXPIRYDATE
1186444	105556	253	NULL	65649	1	2	480	2013-10-09 13:30:00.000	2013-10-09 22:00:00.000	0	2013-10-11 17:44:44.000	1	1:8	480	2013-10-09 13:30:00.000
1186447	85702	-4113	NULL	65652	1	2	480	2013-10-04 14:30:00.000	2013-10-04 23:00:00.000	0	2013-09-30 14:33:47.000	7	2:8	480	2013-10-04 14:30:00.000
1186448	85702	-4113	NULL	65653	1	2	480	2013-10-07 14:30:00.000	2013-10-07 23:00:00.000	0	2013-10-10 15:43:07.000	1	2:8	480	2013-10-07 14:30:00.000
1186450	85702	-4113	NULL	65655	1	2	300	2013-10-04 17:30:00.000	2013-10-04 23:00:00.000	0	2013-10-07 17:35:52.000	1	1:5.0	330	2013-10-04 17:30:00.000
1186626	105491	253	NULL	65665	1	2	480	2013-10-04 14:30:00.000	2013-10-04 23:00:00.000	0	2013-10-07 17:35:50.000	2	1:8	480	2013-10-04 14:30:00.000
1186668	54691	-4113	NULL	65670	1	2	480	2013-10-04 05:00:00.000	2013-10-05 05:00:00.000	0	2013-10-04 19:30:31.000	1	1:8	480	2013-10-04 05:00:00.000
1186671	105523	253	NULL	65671	1	2	480	2013-10-04 05:30:00.000	2013-10-04 22:00:00.000	0	2013-10-07 17:35:35.000	2	1:8	480	2013-10-04 05:30:00.000
1186734	54598	-4113	NULL	65677	1	2	210	2013-10-09 17:45:00.000	2013-10-09 21:45:00.000	0	2013-10-10 17:33:45.000	2	1:3.5	240	2013-10-09 17:45:00.000
1186750	91967	-4113	NULL	65682	1	2	480	2013-10-02 13:30:00.000	2013-10-02 22:00:00.000	0	2013-10-02 16:03:15.000	1	2:8	480	2013-10-02 13:30:00.000
1186762	106057	253	NULL	65684	1	2	0	2013-09-30 05:00:00.000	2013-10-01 05:00:00.000	0	2013-09-18 21:54:46.000	2	0:0	480	2013-09-30 05:00:00.000
1186772	94893	253	NULL	65690	1	2	330	2013-10-07 17:00:00.000	2013-10-07 22:30:00.000	0	2013-09-12 16:35:48.000	6	3:5.5	330	2013-10-07 17:00:00.000
1186799	106013	253	NULL	65696	1	2	480	2013-10-11 05:00:00.000	2013-10-12 05:00:00.000	0	2013-10-10 16:15:01.000	2	1:8	480	2013-10-11 05:00:00.000
1186843	85640	-4113	NULL	65706	1	2	480	2013-10-07 13:45:00.000	2013-10-07 22:15:00.000	0	2013-10-07 17:35:48.000	2	2:8	480	2013-10-07 13:45:00.000
1186847	46575	253	NULL	65710	1	2	480	2013-09-30 14:30:00.000	2013-09-30 23:00:00.000	0	2013-10-03 15:51:13.000	1	1:8	480	2013-09-30 14:30:00.000
1187290	97048	-4113	NULL	65727	1	2	210	2013-09-30 13:00:00.000	2013-09-30 17:00:00.000	0	2013-10-02 16:02:30.000	1	2:3.5	240	2013-09-30 13:00:00.000
1187293	105846	253	NULL	65730	1	2	150	2013-10-01 14:30:00.000	2013-10-01 17:30:00.000	0	2013-10-03 19:26:42.000	1	1:2.5	180	2013-10-01 14:30:00.000
1187488	106008	253	NULL	65738	1	2	480	2013-10-11 05:00:00.000	2013-10-12 05:00:00.000	0	2013-10-11 21:46:48.000	2	1:8	480	2013-10-11 05:00:00.000
1187532	106064	253	NULL	65754	1	2	480	2013-09-30 14:30:00.000	2013-09-30 23:00:00.000	0	2013-10-04 12:44:29.000	1	1:8	480	2013-09-30 14:30:00.000
1187739	39209	-4113	NULL	65764	1	2	255	2013-10-04 13:15:00.000	2013-10-04 18:00:00.000	0	2013-10-07 17:35:11.000	2	1:4.25	285	2013-10-04 13:15:00.000
1187767	105454	253	NULL	65772	1	2	480	2013-10-11 15:00:00.000	2013-10-11 23:30:00.000	0	2013-10-11 14:57:36.000	1	1:8	480	2013-10-11 15:00:00.000
1187787	105936	253	NULL	65787	1	2	210	2013-10-11 14:00:00.000	2013-10-11 18:00:00.000	0	2013-10-04 19:46:00.000	6	2:3.5	240	2013-10-11 14:00:00.000
1187790	97460	253	NULL	65790	1	2	120	2013-10-11 19:00:00.000	2013-10-11 21:30:00.000	0	2013-10-11 17:44:56.000	1	1:2	150	2013-10-11 19:00:00.000
1187915	58124	-4113	NULL	65797	1	2	180	2013-10-10 19:00:00.000	2013-10-10 22:00:00.000	0	2013-09-20 15:45:13.000	6	3:3.0	180	2013-10-10 19:00:00.000
1187942	30386	-4113	NULL	65805	1	2	120	2013-09-30 13:45:00.000	2013-09-30 15:45:00.000	0	2013-10-02 22:40:28.000	1	2:2	120	2013-09-30 13:45:00.000
1187986	41764	-4113	NULL	65807	1	2	480	2013-10-03 14:30:00.000	2013-10-03 23:00:00.000	0	2013-10-02 16:07:02.000	1	2:8	480	2013-10-03 14:30:00.000
1188010	105841	253	NULL	65814	1	2	480	2013-09-30 13:00:00.000	2013-09-30 21:30:00.000	0	2013-10-04 13:32:49.000	1	1:8	480	2013-09-30 13:00:00.000
1188019	40564	-4113	NULL	65818	1	2	600	2013-10-04 13:00:00.000	2013-10-04 23:30:00.000	0	2013-10-07 17:35:08.000	3	1:10.0	600	2013-10-04 13:00:00.000
1188037	97423	253	NULL	65821	1	2	0	2013-10-03 14:30:00.000	2013-10-03 23:00:00.000	0	2013-10-02 17:24:38.000	6	0:0	480	2013-10-03 14:30:00.000
1188239	97423	253	NULL	65826	1	2	0	2013-10-04 14:30:00.000	2013-10-04 23:00:00.000	0	2013-10-02 17:24:38.000	6	0:0	480	2013-10-04 14:30:00.000
1188243	97423	253	NULL	65827	1	2	0	2013-10-02 19:30:00.000	2013-10-02 23:00:00.000	0	2013-10-02 17:24:38.000	6	0:0	210	2013-10-02 19:30:00.000
1188564	42423	-4113	NULL	65843	1	2	480	2013-10-11 14:00:00.000	2013-10-11 22:30:00.000	0	2013-10-10 16:59:02.000	1	1:8	480	2013-10-11 14:00:00.000
1188645	106057	253	NULL	65845	1	2	0	2013-09-30 14:30:00.000	2013-09-30 23:00:00.000	0	2013-09-18 21:54:46.000	1	0:0	480	2013-09-30 14:30:00.000
1188657	105866	253	NULL	65848	1	2	480	2013-10-04 05:00:00.000	2013-10-05 05:00:00.000	0	2013-10-07 17:36:02.000	2	1:8	480	2013-10-04 05:00:00.000
1188687	54691	-4113	NULL	65852	1	2	480	2013-10-11 05:00:00.000	2013-10-12 05:00:00.000	0	2013-10-11 18:34:46.000	1	1:8	480	2013-10-11 05:00:00.000
1188702	105939	253	NULL	65855	1	2	0	2013-10-03 17:00:00.000	2013-10-03 21:30:00.000	0	2013-09-30 14:09:16.000	1	0:0	270	2013-10-03 17:00:00.000
1188766	90937	-4113	NULL	65860	1	2	330	2013-10-09 16:00:00.000	2013-10-09 22:00:00.000	0	2013-10-11 20:36:51.000	1	1:5.5	360	2013-10-09 16:00:00.000
1188771	105949	253	NULL	65862	1	2	480	2013-10-02 13:30:00.000	2013-10-02 22:00:00.000	0	2013-10-02 16:03:39.000	1	2:8	480	2013-10-02 13:30:00.000
1188829	70994	-4113	NULL	65863	1	2	180	2013-09-30 19:30:00.000	2013-09-30 23:00:00.000	0	2013-10-04 21:53:53.000	1	1:3.0	210	2013-09-30 19:30:00.000
1188850	106057	253	5592442	NULL	NULL	2	0	2013-09-30 14:30:00.000	2013-09-30 23:00:00.000	0	2013-09-18 21:54:46.000	1	0:0	480	NULL
1189056	106013	253	NULL	65865	1	2	480	2013-10-11 05:00:00.000	2013-10-12 05:00:00.000	0	2013-10-10 16:15:01.000	2	1:8	480	2013-10-11 05:00:00.000
1189080	97455	253	NULL	65880	1	2	270	2013-09-30 12:45:00.000	2013-09-30 17:45:00.000	0	2013-10-02 16:03:30.000	2	2:4.5	300	2013-09-30 12:45:00.000
1189096	98310	253	NULL	65884	1	2	480	2013-10-11 13:00:00.000	2013-10-11 21:30:00.000	0	2013-10-10 20:49:04.000	2	1:8	480	2013-10-11 13:00:00.000
1189099	51395	-4113	NULL	65887	1	2	210	2013-10-11 20:00:00.000	2013-10-11 23:30:00.000	0	2013-10-10 16:59:06.000	1	1:3.5	210	2013-10-11 20:00:00.000
1189186	72902	-4113	NULL	65903	1	2	480	2013-10-10 12:45:00.000	2013-10-10 21:15:00.000	0	2013-10-11 17:52:26.000	1	1:8	480	2013-10-10 12:45:00.000
1189192	72902	-4113	NULL	65909	1	2	480	2013-10-11 12:45:00.000	2013-10-11 21:15:00.000	0	2013-10-11 17:52:26.000	2	1:8	480	2013-10-11 12:45:00.000
