Date,Agent ID,Supervisor ID,Calls Answered,Short Calls Answered,Avg Handle Time,Total Return to Queue,Calls RTQ Due to Timeout,Total Scheduled Productive Time,Actual Productive Time,Talk Time,Wrap Up Time,Logged in Time,Not Ready Time,Break Time,Lunch Time,Calls Offered
2018-05-22,103706,72207,30,0,00:20:27,3,18,06:50:00,21:18:09,10:13:36,00:00:00,1d03:23:57,06:05:48,02:22:28,02:10:56,51
2018-05-22,103708,82734,42,0,00:14:23,0,0,07:15:00,22:20:00,10:04:36,00:00:00,1d01:47:54,03:27:54,02:08:12,02:28:08,42
2018-05-22,103734,59883,39,0,00:05:52,0,0,06:48:00,20:02:57,03:49:03,00:00:00,1d01:30:24,05:27:27,04:25:32,01:59:52,39
2018-05-22,103856,111091,42,0,00:10:15,0,3,07:24:00,23:01:21,07:11:00,00:00:00,1d02:00:51,02:59:30,01:41:04,01:55:56,45
2018-05-22,103982,114372,6,0,00:19:56,0,0,04:00:00,04:17:07,01:59:40,00:00:00,04:45:14,00:28:07,00:11:32,00:00:00,6
2018-05-22,103997,114372,3,0,00:04:58,0,0,02:24:00,02:20:36,00:14:54,00:00:00,02:46:47,00:26:11,00:17:59,00:00:00,3
2018-05-22,104418,75710,11,0,00:15:10,0,0,07:30:00,04:44:51,02:46:57,00:00:00,09:19:09,04:34:18,00:14:19,00:32:06,11
2018-05-22,104421,106186,16,1,00:07:57,1,0,07:30:00,07:07:57,02:07:18,00:00:00,08:23:33,01:15:36,00:42:11,00:30:36,17
2018-05-22,104679,76445,27,0,00:31:23,0,0,06:52:00,21:21:51,14:07:24,00:00:00,1d01:28:51,04:07:00,00:36:20,01:50:20,27
2018-05-22,104956,44995,12,0,00:12:06,0,0,07:11:00,07:07:08,02:25:22,00:00:00,09:06:49,01:59:41,00:42:23,00:37:15,12
2018-05-22,104959,46368,45,0,00:08:52,0,6,07:30:00,21:09:27,06:39:00,00:00:00,1d01:25:57,04:16:30,02:02:32,02:04:00,54
2018-05-22,104962,114372,13,0,00:05:58,0,1,07:00:00,07:02:03,01:17:41,00:00:00,08:35:27,01:33:24,00:15:39,01:16:08,14
2018-05-22,104980,125019,9,0,00:06:44,1,0,04:29:00,03:50:50,01:00:39,00:00:00,04:54:14,01:03:24,00:14:30,00:32:16,10
2018-05-22,104984,72681,39,0,00:08:56,0,0,03:51:00,11:48:57,05:48:42,00:00:00,1d01:34:42,13:45:45,02:18:52,01:52:56,39
2018-05-22,104988,85907,51,3,00:06:59,0,0,04:20:00,13:42:03,05:56:30,00:00:00,1d02:07:27,12:25:24,01:01:12,02:02:00,51
2018-05-22,105034,60950,48,3,00:09:53,3,0,07:30:00,19:48:48,07:54:27,00:00:00,1d01:22:18,05:33:30,04:18:48,02:11:36,54
2018-05-22,105038,70221,18,0,00:06:28,0,0,05:56:00,17:22:21,01:56:30,00:00:00,1d01:03:30,07:41:09,02:10:20,02:08:24,18
2018-05-22,105300,149215,60,6,00:04:42,0,3,08:30:00,1d01:00:00,04:42:18,00:00:00,1d04:28:03,03:28:03,02:19:24,01:56:48,63
2018-05-22,105319,60950,54,3,00:05:27,0,9,07:30:00,21:00:12,04:54:45,00:00:00,1d01:27:45,04:27:33,02:51:04,02:35:56,63
2018-05-22,105327,87261,39,3,00:08:07,0,3,07:30:00,18:29:45,05:16:48,00:00:00,22:00:57,03:31:12,01:34:52,02:08:04,42
2018-05-22,105403,149176,42,0,00:10:55,0,0,06:30:00,19:02:36,07:39:06,00:00:00,1d01:21:57,06:19:21,02:26:24,01:57:36,42
2018-05-22,105426,125118,54,0,00:09:21,0,6,07:10:00,21:35:51,08:25:27,00:00:00,1d02:25:18,04:49:27,04:24:48,01:47:28,60
2018-05-22,105428,60060,18,0,00:41:37,0,3,07:30:00,20:48:48,12:29:18,00:00:00,1d01:02:09,04:13:21,01:40:12,02:35:16,21
2018-05-22,105443,58129,36,3,00:13:07,0,6,06:58:00,21:44:57,07:52:36,00:00:00,1d01:32:33,03:47:36,00:41:00,02:27:08,45
2018-05-22,105559,85892,45,9,00:10:32,3,0,07:34:00,22:59:21,07:54:15,00:00:00,1d04:31:57,05:32:36,01:14:00,02:03:36,51
2018-05-22,105565,93714,36,3,00:15:55,0,6,08:10:00,21:02:57,09:33:15,00:00:00,1d04:27:57,07:25:00,00:56:00,02:07:00,42
2018-05-22,105589,73788,21,0,00:04:19,0,0,07:30:00,07:16:30,01:30:42,00:00:00,08:39:44,01:23:14,00:51:21,00:29:03,21
2018-05-22,105612,125118,72,39,00:03:59,0,3,07:16:00,21:47:00,04:47:18,00:00:00,1d01:50:03,04:03:03,02:31:20,02:20:52,75
2018-05-22,105716,70013,8,1,00:34:38,0,1,07:19:00,07:29:40,04:37:09,00:00:00,08:27:35,00:57:55,00:15:15,00:30:12,9
2018-05-22,105938,46368,21,0,00:21:11,0,0,04:50:00,14:22:48,07:25:03,00:00:00,17:05:18,02:42:30,00:59:40,02:01:12,21
2018-05-22,106436,62774,15,0,00:08:36,0,0,06:57:00,23:11:18,02:09:12,00:00:00,1d07:15:33,08:04:15,02:04:52,02:11:12,15
2018-05-22,106463,62774,48,0,00:09:08,0,0,07:04:00,20:25:42,07:18:45,00:00:00,1d04:29:51,08:04:09,02:58:04,02:00:04,48
2018-05-22,106476,51855,39,0,00:15:10,0,0,05:08:00,15:58:36,09:51:33,00:00:00,1d05:16:21,13:17:45,02:15:48,01:57:12,39
2018-05-22,110540,110673,45,0,00:10:26,0,3,07:30:00,21:04:36,07:49:42,00:00:00,1d01:17:36,04:13:00,01:50:12,01:41:12,48
2018-05-22,110604,60016,17,1,00:07:15,0,0,06:40:00,06:24:29,02:03:21,00:00:00,07:37:04,01:12:35,00:34:17,00:30:44,17
2018-05-22,110606,70087,39,0,00:09:17,0,0,06:38:00,19:09:15,06:02:18,00:00:00,1d01:38:12,06:28:57,02:06:08,01:53:20,39
2018-05-22,110897,51855,18,0,00:13:19,0,0,04:40:00,13:37:15,03:59:54,00:00:00,1d04:27:30,14:50:15,02:23:16,00:53:36,18
2018-05-22,110918,60016,23,1,00:05:47,0,0,07:30:00,07:12:04,02:13:18,00:00:00,08:29:15,01:17:11,00:31:03,00:29:17,23
2018-05-22,111032,125178,51,0,00:09:03,0,6,08:30:00,1d01:52:18,07:42:06,00:00:00,1d04:25:03,02:32:45,00:56:28,02:02:40,57
2018-05-22,111034,90087,45,3,00:09:05,0,3,07:15:00,22:32:09,06:49:09,00:00:00,1d02:01:18,03:29:09,02:10:24,01:58:16,48
2018-05-22,111041,111091,33,3,00:09:22,0,0,07:30:00,20:38:06,05:09:06,00:00:00,1d01:00:18,04:22:12,02:39:08,01:32:36,33
2018-05-22,111083,81258,54,0,00:10:24,0,3,07:59:00,23:47:21,09:22:03,00:00:00,1d04:25:42,04:38:21,02:35:08,02:21:04,57
2018-05-22,111092,90087,24,3,00:05:27,0,0,03:45:00,13:14:06,02:11:03,00:00:00,13:18:42,00:04:36,00:00:00,00:00:00,24
2018-05-22,111096,81258,51,0,00:10:40,0,0,07:10:00,22:18:27,09:04:45,00:00:00,1d01:17:03,02:58:36,01:04:00,01:25:44,51
2018-05-22,111125,91939,36,3,00:05:08,0,0,04:55:00,17:58:30,03:05:03,00:00:00,22:53:54,04:55:24,03:56:36,02:22:56,36
2018-05-22,111129,60950,54,3,00:10:32,0,3,08:30:00,1d01:02:06,09:29:36,00:00:00,1d04:26:03,03:23:57,02:41:16,01:47:12,57
2018-05-22,111152,69623,36,0,00:06:50,0,3,07:30:00,22:00:27,04:06:33,00:00:00,1d01:23:36,03:23:09,02:29:20,02:00:20,39
2018-05-22,111404,58129,36,3,00:09:39,0,9,06:35:00,16:33:30,05:47:27,00:00:00,1d00:39:36,08:06:06,02:38:08,01:48:44,45
2018-05-22,111406,59946,16,0,00:08:22,0,0,05:37:00,05:48:38,02:14:01,00:00:00,08:30:36,02:41:58,00:35:03,00:30:18,16
2018-05-22,111414,81642,45,3,00:11:45,0,3,07:30:00,23:13:12,08:49:06,00:00:00,1d02:02:03,02:48:51,02:33:08,00:00:00,48
2018-05-22,111463,93540,7,0,00:11:25,0,0,08:00:00,03:38:40,01:19:59,00:00:00,08:59:13,05:20:33,00:40:03,00:31:12,7
2018-05-22,111663,87261,51,3,00:10:56,0,0,08:25:00,1d01:55:33,09:17:51,00:00:00,1d04:53:48,02:58:15,01:44:00,01:58:32,51
2018-05-22,111667,68970,30,12,00:04:58,0,0,07:10:00,21:13:21,02:29:06,00:00:00,1d01:29:30,04:16:09,03:41:32,01:58:16,30
2018-05-22,111671,62774,21,0,00:18:06,0,0,07:00:00,20:48:48,06:20:09,00:00:00,1d04:30:57,07:42:09,02:21:16,01:51:12,21
2018-05-22,111769,58837,18,0,00:11:36,0,0,07:30:00,22:08:06,03:28:57,00:00:00,1d01:27:51,03:19:45,02:16:28,02:05:16,18
2018-05-22,111770,70087,33,0,00:13:27,0,0,07:30:00,22:22:03,07:24:21,00:00:00,1d01:55:18,03:33:15,02:17:40,02:20:12,33
2018-05-22,111835,48049,24,6,00:06:29,0,0,05:54:00,17:37:24,02:35:39,00:00:00,20:59:03,03:21:39,02:02:24,02:00:48,24
2018-05-22,111840,48049,24,0,00:14:08,0,0,07:10:00,21:17:27,05:39:27,00:00:00,1d01:19:12,04:01:45,01:59:48,02:03:00,24
2018-05-22,112638,75722,36,0,00:23:50,0,0,07:55:00,1d00:24:57,14:18:27,00:00:00,1d04:49:27,04:24:30,02:48:52,01:59:56,36
2018-05-22,112682,85328,16,0,00:08:54,1,1,07:30:00,07:13:06,02:22:32,00:00:00,08:40:33,01:27:27,00:46:15,00:28:02,18
2018-05-22,112685,115412,19,3,00:05:34,0,0,07:30:00,07:22:33,01:45:50,00:00:00,08:27:33,01:05:00,00:30:54,00:30:56,19
2018-05-22,112702,111371,39,0,00:16:26,0,0,07:20:00,21:07:57,10:41:00,00:00:00,1d01:20:06,04:12:09,02:31:48,02:23:48,39
2018-05-22,112781,86897,18,0,00:08:52,0,0,08:30:00,08:41:05,02:39:48,00:00:00,09:33:57,00:52:52,00:28:55,00:23:44,19
2018-05-22,112786,93754,37,2,00:07:54,0,1,07:30:00,07:19:49,04:52:53,00:00:00,08:41:42,01:21:53,00:43:29,00:33:20,38
2018-05-22,112789,149215,87,3,00:06:56,0,0,07:24:00,21:52:06,10:04:36,00:00:00,1d01:20:57,03:28:51,02:06:24,02:13:00,87
2018-05-22,112798,72207,12,0,00:10:07,0,0,06:07:00,08:02:24,02:01:30,00:00:00,12:57:24,04:55:00,00:59:36,00:00:00,12
2018-05-22,112800,93714,33,9,00:06:05,0,9,08:30:00,13:23:21,03:21:06,00:00:00,16:44:18,03:20:57,01:04:16,02:03:20,42
2018-05-22,112826,62840,20,3,00:07:03,1,0,08:30:00,08:07:19,02:21:06,00:00:00,09:23:17,01:15:58,00:37:14,00:38:43,22
2018-05-22,113154,60016,41,0,00:06:23,0,0,07:30:00,07:23:33,04:22:07,00:00:00,08:29:38,01:06:05,00:32:23,00:32:21,41
2018-05-22,113264,51855,39,0,00:09:26,0,0,05:13:00,16:06:09,06:08:27,00:00:00,1d04:53:45,12:47:36,02:00:24,01:54:24,39
2018-05-22,113317,69623,15,0,00:04:45,0,1,07:30:00,07:04:46,01:11:22,00:00:00,08:29:04,01:24:18,00:46:21,00:37:44,16
2018-05-22,113424,133319,51,3,00:06:05,0,3,07:30:00,21:18:09,05:10:48,00:00:00,1d01:27:15,04:09:06,02:56:36,02:13:04,57
2018-05-22,113499,111091,42,3,00:08:12,0,0,08:30:00,1d00:45:12,05:44:39,00:00:00,1d04:20:54,03:35:42,02:37:24,02:04:56,42
2018-05-22,113781,87261,45,0,00:07:56,0,6,07:30:00,21:57:39,05:57:03,00:00:00,1d01:18:00,03:20:21,02:24:04,02:01:40,51
2018-05-22,113786,59914,14,0,00:10:54,0,0,07:30:00,07:22:09,02:32:44,00:00:00,08:29:55,01:07:46,00:31:06,00:29:48,14
2018-05-22,113818,93540,13,0,00:12:48,1,0,07:00:00,06:55:32,02:46:29,00:00:00,07:59:57,01:04:25,00:34:18,00:30:06,14
2018-05-22,113825,59736,6,0,00:12:05,0,0,05:20:00,05:12:12,01:12:35,00:00:00,09:59:17,04:47:05,00:36:41,00:30:00,6
2018-05-22,113839,59883,33,0,00:06:55,0,0,07:30:00,21:38:09,03:48:30,00:00:00,1d01:29:48,03:51:39,03:02:16,02:04:08,33
2018-05-22,114169,147881,42,3,00:10:16,0,0,06:54:00,20:05:27,07:11:33,00:00:00,1d01:21:15,05:15:48,02:00:40,01:53:40,42
2018-05-22,114249,82734,36,0,00:20:07,0,0,07:30:00,22:27:33,12:04:27,00:00:00,1d01:49:51,03:22:18,02:08:12,02:11:12,36
2018-05-22,114401,101870,33,0,00:22:15,0,0,06:06:00,19:25:00,12:14:33,00:00:00,1d02:04:21,06:39:21,02:08:12,01:58:20,33
2018-05-22,114688,102828,57,0,00:06:35,0,3,07:23:00,21:08:51,06:16:00,00:00:00,1d01:32:48,04:23:57,02:08:28,01:59:40,60
2018-05-22,114733,89622,20,0,00:03:34,0,1,09:30:00,09:24:26,01:11:23,00:00:00,10:30:45,01:06:19,00:36:07,00:29:16,21
2018-05-22,114742,72207,48,9,00:08:51,3,0,06:47:00,20:31:03,07:04:51,00:00:00,1d03:38:42,07:07:39,02:35:00,01:58:56,51
2018-05-22,114749,59736,11,0,00:07:35,0,0,06:47:00,06:38:59,01:23:29,00:00:00,08:14:07,01:35:08,00:37:08,00:31:04,11
